"Registration Number","Name of Company (Traditional Chinese)","Name of Company (English)","Area (Traditional Chinese)","Area (English)","District (Traditional Chinese)","District (English)","Business Address (Traditional Chinese)","Business Address (English)","Telephone Number","Workshop Type","Service Scope","Expiry Date","Review Status","Latitude","Longitude","Types of Vehicles Serviced (Traditional Chinese)","Types of Vehicles Serviced (English)","Types of Services Provided by the Workshop (Traditional Chinese)","Types of Services Provided by the Workshop (English)","Sundays (Open)","Sundays (Closed)","Mondays (Open)","Mondays (Closed)","Tuesdays (Open)","Tuesdays(Closed)","Wednesdays (Open)","Wednesdays(Closed)","Thursdays (Open)","Thursdays(Closed)","Fridays (Open)","Fridays (Closed)","Saturdays (Open)","Saturdays (Closed)","Public Holidays (Open)","Public Holidays (Closed)","Statutory Holidays (Open)","Statutory Holidays (Closed)","Opening Hours"
"VMW022333","錦龍有限公司 (鴨脷洲)","KAM LUNG MOTORS LIMITED (AP LEI CHAU)","香港","Hong Kong","南區","SOUTHERN DISTRICT","利樂街2號海灣工貿中心地下4-5號舖","Flat 4 & 5, G/F, Oceanic Industrial Centre, No. 2, Lee Lok Street, ","21194861","1","IC","2027-05-19","","22.2374","114.15331","私家車, 輕型貨車","Private Car, Light Goods Vehicle","一般車輛維修 (機械和電器工作), 更換機油服務","General vehicle maintenance (mechanical and electrical work), Engine oil changing","","","","","","","","","","","","","","","","","","",""
"VMW022344","錦龍有限公司 (荃灣)","KAM LUNG MOTORS LIMITED (TSUEN WAN)","新界","N.T.","荃灣","TSUEN WAN","德士古道220-248號荃灣工業中心地下B舖","Shop B, G/F, Tsuen Wan Industrial Centre, No. 220-248, Texaco Road, ","21194861","1","IC","2027-05-19","","22.36465","114.11579","私家車, 輕型貨車","Private Car, Light Goods Vehicle","一般車輛維修 (機械和電器工作)","General vehicle maintenance (mechanical and electrical work)","","","","","","","","","","","","","","","","","","",""
"VMW022355","錦龍有限公司 (元朗)","KAM LUNG MOTORS LIMITED(YUEN LONG)","新界","N.T.","元朗","YUEN LONG","屏山 121,, 74RP,82 88RP","121,, 74RP,82 88RP G/F, Ping Shan ","21194861","1","IC","2027-05-19","","22.43967","114.00751","私家車, 輕型貨車","Private Car, Light Goods Vehicle","","","","","","","","","","","","","","","","","","","","",""
"VMW022366","金怡國際發展有限公司","GOEZ INTERNATIONAL DEVELOPMENT LIMITED","香港","Hong Kong","東區","EASTERN DISTRICT","柴灣豐業街12號啓力工業中心地下6號舖","Flat/Room 6, G/F, Kailey Industrial Centre, No. 12, Fung Yip Street, Chai Wan","36190382","3","IC","2027-11-28","","22.26719","114.2446","私家車","Private Car","一般車輛維修 (機械和電器工作)","General vehicle maintenance (mechanical and electrical work)","","","","","","","","","","","","","","","","","","",""
"VMW022377","錦龍有限公司 (柴灣)","KAM LUNG MOTORS LIMITED (CHAI WAN)","香港","Hong Kong","東區","EASTERN DISTRICT","永泰道70號柴灣工業城2期地下2號舖","Unit 2, G/F, Chai Wan Industrial City Phase 2, No. 70, Wing Tai Road, ","21446690","1","IC","2027-05-19","","22.26818","114.24199","私家車, 輕型貨車","Private Car, Light Goods Vehicle","一般車輛維修 (機械和電器工作)","General vehicle maintenance (mechanical and electrical work)","R","R","08:30","18:30","08:30","18:30","08:30","18:30","08:30","18:30","08:30","18:30","08:30","18:00","R","R","R","R","Mo 08:30-18:30, Tu 08:30-18:30, We 08:30-18:30, Th 08:30-18:30, Fr 08:30-18:30, Sa 08:30-18:00"
"VMW022399","大達汽車服務","TAI TAT MOTORS SERVICE","新界","N.T.","北區","NORTH DISTRICT","石湖新村北(奕翠園後面) DD51, LOT 306","DD51, LOT 306 North of Shek Wu New Village (back of Woodland Crest) ","26754888","3","IC","2027-05-19","","22.507561","114.13358","私家車, 輕型貨車, 中型貨車","Private Car, Light Goods Vehicle, Medium Goods Vehicle","一般車輛維修 (機械和電器工作), 更換機油服務","General vehicle maintenance (mechanical and electrical work), Engine oil changing","","","","","","","","","","","","","","","","","","",""
"VMW022402","淇誠汽車維修","KI SHING CAR SERVICE","九龍","Kowloon","觀塘","KWUN TONG","海濱道151-153號廣生行中心地下5B號鋪","Shop 5B, G/F, Kwong Sang Hong Centre, No. 151-153, Hoi Bun Road, ","51705702","3","IC","2027-05-19","","22.3118","114.21859","私家車","Private Car","一般車輛維修 (機械和電器工作)","General vehicle maintenance (mechanical and electrical work)","","","","","","","","","","","","","","","","","","",""
"VMW022413","科程汽車工程有限公司","UNIONACE AUTO BODY AND REPAIR CO LTD","新界","N.T.","元朗","YUEN LONG","蝦尾新村60號","No. 60, Ha Mei San Tsuen, ","24484383","2","IC","2027-05-19","","22.452097","114.0101","私家車, 小巴, 巴士, 輕型貨車, 中型貨車, 重型貨車","Private Car, Light Bus, Bus, Light Goods Vehicle, Medium Goods Vehicle, Heavy Goods Vehicle","一般車輛維修 (機械和電器工作), 石油氣車輛維修, 車身修理, 車身製造 (中型及重型車輛), 車身噴漆, 尾板, 電動及油壓配件, 更換機油服務","General vehicle maintenance (mechanical and electrical work), Maintenance for LPG vehicles, Body works, Body built (Medium-sized and heavy vehicles), Spray painting, Tail lift, Electric and hydrauic operated accessories, Engine oil changing","","","","","","","","","","","","","","","","","","",""
"VMW022424","慶聯汽車工程有限公司","HING LUEN MOTOR LIMITED","新界","N.T.","元朗","YUEN LONG","廈村廈村路 DD 124, SECTION C OF LOT NO. 15","DD 124, SECTION C OF LOT NO. 15 Ha Tsuen Road, Ha Tsuen, ","","3","IC","2027-05-19","","22.444167","113.991278","輕型貨車, 中型貨車, 掛接式拖車頭及拖車架","Light Goods Vehicle, Medium Goods Vehicle, Articulated Tractor and Trailer","一般車輛維修 (機械和電器工作)","General vehicle maintenance (mechanical and electrical work)","","","","","","","","","","","","","","","","","","",""
"VMW022435","金國維修-火炭中心","GWM AA WORKSHOP - FO TAN CENTRE","新界","N.T.","沙田","SHA TIN","山尾街31-35號華樂工業中心二期地下F9號舖","Shop F9, LG/F, Wah Lok Industrial Centre Phase 2, No. 31-35, Shan Mei Street, ","21348889","3","IC","2027-06-04","","22.39797","114.19204","私家車","Private Car","","","","","","","","","","","","","","","","","","","","",""
"VMW022446","海洋汽車服務有限公司","OCEAN AUOTMOTIVE SERVICES LIMITED","新界","N.T.","元朗","YUEN LONG","錦上路(石湖塘菜站路口對面) DD 106, LOT 375","DD 106, LOT 375 Opposite to the Shek Wu Tong, Kam Sheung Road, ","96082477","3","IC","2027-09-07","","22.42733","114.07311","私家車, 輕型貨車, 電單車","Private Car, Light Goods Vehicle, Motorcycle","","","","","","","","","","","","","","","","","","","","",""
"VMW022457","威特汽車公司","WAI TECH MOTORS CO.","香港","Hong Kong","東區","EASTERN DISTRICT","柴灣豐業街12號啟力工業中心A座地下5號舖","Flat/RM 5, G/F, Block A, Kailey Industrial Centre, No. 12, Fung Yip Street, Chai Wan","28984788","3","IC","2027-10-19","","22.26841","114.24255","私家車, 輕型貨車","Private Car, Light Goods Vehicle","一般車輛維修 (機械和電器工作)","General vehicle maintenance (mechanical and electrical work)","","","","","","","","","","","","","","","","","","",""
"VMW022479","友達汽車服務有限公司","TOMOTACHI MOTOR CENTRE LIMITED","新界","N.T.","元朗","YUEN LONG","十八鄉大旗嶺地下 DD 120,, LOT 1649SB,","DD 120,, LOT 1649SB, G/F, Tai Kei Leng, Shap Pat Heung","24772835","3","IC","2028-07-12","","22.44059","114.03105","私家車, 輕型貨車","Private Car, Light Goods Vehicle","","","","","","","","","","","","","","","","","","","","",""
"VMW022480","浩洋汽車有限公司","WHOLE YANG MOTORS LIMITED","新界","N.T.","元朗","YUEN LONG","橫台山永寧里 DD 111,, LOT 1077,","DD 111,, LOT 1077, Wing Ning Lane, Wang Toi Shan, ","28080330","1","IC","2027-05-29","","22.44374","114.09142","私家車, 巴士, 輕型貨車, 中型貨車, 重型貨車, 電單車, 掛接式拖車頭及拖車架","Private Car, Bus, Light Goods Vehicle, Medium Goods Vehicle, Heavy Goods Vehicle, Motorcycle, Articulated Tractor and Trailer","一般車輛維修 (機械和電器工作), 空調服務, 更換機油服務","General vehicle maintenance (mechanical and electrical work), Air-conditioning, Engine oil changing","","","","","","","","","","","","","","","","","","",""
"VMW022491","恒利汽車服務","HANG LEE CAR SERVICE","新界","N.T.","屯門","TUEN MUN","紫田村康寶路 DD 130,, LOT 245","DD 130,, LOT 245 Hong Po Road, Tsz Tin Tauren, ","92020306","3","IC","2027-05-23","","22.418662","113.976133","私家車, 輕型貨車","Private Car, Light Goods Vehicle","一般車輛維修 (機械和電器工作), 更換機油服務","General vehicle maintenance (mechanical and electrical work), Engine oil changing","","","","","","","","","","","","","","","","","","",""
"VMW022515","GEMBALLA HONG KONG LIMITED","GEMBALLA HONG KONG LIMITED","九龍","Kowloon","觀塘","KWUN TONG","觀塘道340號祥順工業大廈地下","G/F, Johnson Industrial Mansion, No. 340, Kwun Tong Road, ","23041415","3","IC","2027-10-03","","22.3155","114.21655","私家車","Private Car","","","","","","","","","","","","","","","","","","","","",""
"VMW022526","忠成汽車服務","SUCCESS AUTO SERVICE COMPANY","九龍","Kowloon","九龍城","KOWLOON CITY","九龍城道216號飛達工商中心地下11號舖","Flat/Room 11, G/F, Freder Centre, No. 216, Kowloon City Road, ","63883393","3","IC","2027-05-19","","22.322779","114.191371","私家車, 輕型貨車","Private Car, Light Goods Vehicle","車身噴漆","Spray painting","","","","","","","","","","","","","","","","","","",""
"VMW022537","富力汽車維修有限公司","SUPER MARIO MOTOR SERVICE LIMITED","九龍","Kowloon","九龍城","KOWLOON CITY","旭日街15號順煒工業大廈地下","G/F, Shun Wai Industrial Building, No. 15, Yuk Yat Street, ","24569088","3","IC","2027-08-29","","22.31623","114.19173","私家車, 的士","Private Car, Taxi","一般車輛維修 (機械和電器工作), 石油氣車輛維修, 車身修理","General vehicle maintenance (mechanical and electrical work), Maintenance for LPG vehicles, Body works","","","","","","","","","","","","","","","","","","",""
"VMW022559","晉烽汽車","CF MOTOR","九龍","Kowloon","九龍城","KOWLOON CITY","木廠街11號前座地下","G/F, Front Block, No. 11, Mok Cheong Street, ","21100764","3","IC","2027-05-19","","22.321853","114.192747","私家車","Private Car","一般車輛維修 (機械和電器工作)","General vehicle maintenance (mechanical and electrical work)","","","","","","","","","","","","","","","","","","",""
"VMW022582","創豐汽車顧問","RP CAR CONSULTANT","香港","Hong Kong","南區","SOUTHERN DISTRICT","黃竹坑業勤街33號地下","G/F, No. 33, Yip Kan Street, Wong Chuk Hang","31064881","3","IC","2027-12-23","","22.24884","114.16558","私家車","Private Car","車身修理","Body works","","","","","","","","","","","","","","","","","","",""
"VMW022593","上智汽車服務","UPGRACE MOTOR SERVICES","九龍","Kowloon","觀塘","KWUN TONG","高輝道17號油塘工業城A座地下12號舖","Flat/Room A12, G/F, Block A, Yau Tong Industrial City, No. 17, Ko Fai Road, ","22645522","3","IC","2027-05-19","","22.29496","114.23448","私家車, 輕型貨車","Private Car, Light Goods Vehicle","一般車輛維修 (機械和電器工作)","General vehicle maintenance (mechanical and electrical work)","","","","","","","","","","","","","","","","","","",""
"VMW022606","天倫汽車服務有限公司","SKY AUTO SERVICE LIMITED","九龍","Kowloon","油尖旺","YAU TSIM MONG","大角咀必發道69號地下B鋪","Shop B, G/F, Bedford Road, Tai Kok Tsui ","24682000","3","IC","2027-05-19","","22.32311","114.16353","的士","Taxi","一般車輛維修 (機械和電器工作), 石油氣車輛維修","General vehicle maintenance (mechanical and electrical work), Maintenance for LPG vehicles","09:00","19:00","09:00","19:00","09:00","19:00","09:00","19:00","09:00","19:00","09:00","19:00","09:00","19:00","09:00","19:00","09:00","19:00","Su 09:00-19:00,Mo 09:00-19:00, Tu 09:00-19:00, We 09:00-19:00, Th 09:00-19:00, Fr 09:00-19:00, Sa 09:00-19:00"
"VMW022628","聯發車房","LUEN FAT MOTORS","新界","N.T.","北區","NORTH DISTRICT","華山村 DD 52, LOT 51","DD 52, LOT 51 Wa Shan Village, ","23440649","3","IC","2027-07-30","","22.509084","114.136229","輕型貨車, 中型貨車, 重型貨車","Light Goods Vehicle, Medium Goods Vehicle, Heavy Goods Vehicle","一般車輛維修 (機械和電器工作), 更換機油服務","General vehicle maintenance (mechanical and electrical work), Engine oil changing","","","","","","","","","","","","","","","","","","",""
"VMW022639","衛龍維修部","WAYLUNG MAINTENANCE WORKSHOP","新界","N.T.","北區","NORTH DISTRICT","安樂村安居街26號A","No. 26-A, On Kui Street, On Lok Tsuen, ","25529221","3","IC","2027-05-22","","22.498092","114.145941","私家車, 輕型貨車, 中型貨車, 重型貨車,其他","Private Car, Light Goods Vehicle, Medium Goods Vehicle, Heavy Goods Vehicle,Others","","","","","","","","","","","","","","","","","","","","",""
"VMW022640","興發汽車工程公司","HING FAT MOTORS ENGINEERING CO.","新界","N.T.","大埔","TAI PO","汀角路漁角村, LOT 514","LOT 514 Yue Kok Tsuen, Ting Kok Road, ","26645802","3","IC","2027-07-13","","22.458711","114.178358","私家車, 輕型貨車","Private Car, Light Goods Vehicle","一般車輛維修 (機械和電器工作), 更換機油服務","General vehicle maintenance (mechanical and electrical work), Engine oil changing","","","","","","","","","","","","","","","","","","",""
"VMW022651","祥利汽車機械貿易公司","CHEUNG LEE MOTOR ENGINEERING","新界","N.T.","元朗","YUEN LONG","唐人新村沙井路42號 DD 121, LOT 1085","DD 121, LOT 1085 No. 42 Sha Tseng Road, Tong Yan San Tsuen, ","","3","IC","2027-07-13","","22.43527","114.01173","私家車, 輕型貨車","Private Car, Light Goods Vehicle","一般車輛維修 (機械和電器工作), 更換機油服務","General vehicle maintenance (mechanical and electrical work), Engine oil changing","","","","","","","","","","","","","","","","","","",""
"VMW022662","日昇汽車服務有限公司","SHINY RISE MOTOR SERVICE LIMITED","新界","N.T.","葵青","KWAI TSING","青衣路81號","No. 81, Tsing Yi Road, ","95188611","3","IC","2027-07-13","","22.33242","114.0916","私家車, 小巴, 輕型貨車, 中型貨車","Private Car, Light Bus, Light Goods Vehicle, Medium Goods Vehicle","一般車輛維修 (機械和電器工作), 石油氣車輛維修, 更換機油服務","General vehicle maintenance (mechanical and electrical work), Maintenance for LPG vehicles, Engine oil changing","R","R","10:00","18:00","10:00","18:00","10:00","18:00","10:00","18:00","10:00","18:00","10:00","18:00","10:00","18:00","10:00","18:00","Mo 10:00-18:00, Tu 10:00-18:00, We 10:00-18:00, Th 10:00-18:00, Fr 10:00-18:00, Sa 10:00-18:00"
"VMW022673","洪記汽車工程","HUNG KEE MOTORS ENGINEERING","新界","N.T.","大埔","TAI PO","汀角路, LOT 516","LOT 516 Ting Kok Road, ","94862934","3","IC","2027-07-13","","22.458253","114.178669","小巴, 巴士, 中型貨車","Light Bus, Bus, Medium Goods Vehicle","一般車輛維修 (機械和電器工作), 更換機油服務","General vehicle maintenance (mechanical and electrical work), Engine oil changing","","","","","","","","","","","","","","","","","","",""
"VMW022684","科威車行","FOUR WAY MOTOR CO","新界","N.T.","元朗","YUEN LONG","八鄉橫台山永寧嶺 DD 111, LOT 1084","DD 111, LOT 1084 Wing Ling Lane, Wang Toi Shan, Pat Heung, ","26091887","3","IC","2027-10-02","","22.443522","114.091411","私家車, 小巴, 輕型貨車, 中型貨車, 重型貨車, 掛接式拖車頭及拖車架,其他","Private Car, Light Bus, Light Goods Vehicle, Medium Goods Vehicle, Heavy Goods Vehicle, Articulated Tractor and Trailer,Others","一般車輛維修 (機械和電器工作)","General vehicle maintenance (mechanical and electrical work)","","","","","","","","","","","","","","","","","","",""
"VMW022708","有利汽車貿易公司","YAU LEE MOTORS TRADING CO.","新界","N.T.","元朗","YUEN LONG","欖口村 DD 120, LOT 2509RP, 2510RP, 2511RP,","DD 120, LOT 2509RP, 2510RP, 2511RP, Lam Hau Tsuen, ","24770022","3","IC","2027-09-15","","22.439239","114.018563","私家車","Private Car","一般車輛維修 (機械和電器工作)","General vehicle maintenance (mechanical and electrical work)","","","","","","","","","","","","","","","","","","",""
"VMW022719","車城汽車服務公司","AUTO CITY MOTOR SERVICE CO.,","新界","N.T.","荃灣","TSUEN WAN","城門道 DD 454, LOT 264","DD 454, LOT 264 Shing Mun Road, ","24096540","3","IC","2027-09-15","","22.38256","114.13694","私家車, 輕型貨車, 中型貨車, 重型貨車","Private Car, Light Goods Vehicle, Medium Goods Vehicle, Heavy Goods Vehicle","一般車輛維修 (機械和電器工作)","General vehicle maintenance (mechanical and electrical work)","","","","","","","","","","","","","","","","","","",""
"VMW022720","創豐汽車服務","C F MOTOR","新界","N.T.","西貢","SAI KUNG","蠔涌大窩村334號","No. 334, Tai Wo Village, ","95546646","3","IC","2027-11-28","","22.35432","114.24072","私家車, 輕型貨車","Private Car, Light Goods Vehicle","一般車輛維修 (機械和電器工作)","General vehicle maintenance (mechanical and electrical work)","","","","","","","","","","","","","","","","","","",""
"VMW022731","泰和汽車服務有限公司","TAI WALL AUTO SERVICES LIMITED","新界","N.T.","元朗","YUEN LONG","屏廈路 DD 129, LOT 3266 RP","DD 129, LOT 3266 RP Ping Ha Road, ","28856876","3","IC","2027-09-15","","22.45878","113.99032","私家車, 輕型貨車, 中型貨車, 重型貨車, 掛接式拖車頭及拖車架","Private Car, Light Goods Vehicle, Medium Goods Vehicle, Heavy Goods Vehicle, Articulated Tractor and Trailer","一般車輛維修 (機械和電器工作), 更換機油服務","General vehicle maintenance (mechanical and electrical work), Engine oil changing","","","","","","","","","","","","","","","","","","",""
"VMW022742","利來汽車工程","REYNOLD MOTORS SERVICE","新界","N.T.","西貢","SAI KUNG","蠔涌蠔涌大窩村334號","No. 334, Tai Wo Village, Ho Chung","27587976","3","IC","2027-09-18","","22.35437","114.24066","私家車, 輕型貨車, 中型貨車, 重型貨車,其他","Private Car, Light Goods Vehicle, Medium Goods Vehicle, Heavy Goods Vehicle,Others","一般車輛維修 (機械和電器工作), 更換機油服務","General vehicle maintenance (mechanical and electrical work), Engine oil changing","","","","","","","","","","","","","","","","","","",""
"VMW022764","安達汽車服務有限公司","BROTHER AUTOMOBILES LIMITED","新界","N.T.","元朗","YUEN LONG","錦田錦上路吳家村71A","71A Ng Ka Tsuen, Kam Sheung Road, Kam Tin","53186866","3","IC","2027-09-15","","22.433613","114.072609","私家車, 輕型貨車, 中型貨車, 重型貨車, 掛接式拖車頭及拖車架","Private Car, Light Goods Vehicle, Medium Goods Vehicle, Heavy Goods Vehicle, Articulated Tractor and Trailer","一般車輛維修 (機械和電器工作), 車身修理","General vehicle maintenance (mechanical and electrical work), Body works","","","","","","","","","","","","","","","","","","",""
"VMW022797","名車專業汽車護理中心有限公司","FAMOUS PROFESSIONAL CAR CARE CENTRE LIMITED","九龍","Kowloon","黃大仙","WONG TAI SIN","新蒲崗彩虹道206-208號盛景工業大廈地下","G/F, Shing King Industrial Building, No. 206-208, Choi Hung Road, San Po Kong","27188668","3","IC","2028-04-01","","22.338786","114.200127","私家車, 輕型貨車","Private Car, Light Goods Vehicle","","","","","","","","","","","","","","","","","","","","",""
"VMW022800","宇成汽車維修服務公司","YU CHENG MOTOR SERVICE COMPANY","九龍","Kowloon","九龍城","KOWLOON CITY","木廠街3號飛達工商業中心地下","G/F, Freder Centre, No. 3, Mok Cheong Street, ","","3","IC","2027-09-15","","22.32248","114.19132","私家車","Private Car","一般車輛維修 (機械和電器工作)","General vehicle maintenance (mechanical and electrical work)","","","","","","","","","","","","","","","","","","",""
"VMW022811","國際汽車維修中心","IPMC SERVICE CENTRE","新界","N.T.","葵青","KWAI TSING","和宜合道159-165號華寶工業大廈B座地下","G/F, Block B, Grand Industrial Building, No. 159-165, Wo Yi Hop Road, ","31881018","3","IC","2027-09-15","","22.37089","114.13673","私家車","Private Car","一般車輛維修 (機械和電器工作), 車身修理, 運輸署驗車續牌服務","General vehicle maintenance (mechanical and electrical work), Body works, Vehicle inspection and renewal of vehicle licence as required by the Transport Department","","","","","","","","","","","","","","","","","","",""
"VMW022822","建興汽車","KM MOTOR","九龍","Kowloon","觀塘","KWUN TONG","海濱道139-141號海濱中心地下5號舖","Unit 5, G/F, Seaview Centre, No. 139-141, Hoi Bun Road, ","26831808","3","IC","2028-01-14","","22.312646","114.218101","私家車","Private Car","一般車輛維修 (機械和電器工作)","General vehicle maintenance (mechanical and electrical work)","","","","","","","","","","","","","","","","","","",""
"VMW022833","瀚燊汽車管理有限公司","HANSON MOTORS MANAGEMENT LIMITED","九龍","Kowloon","觀塘","KWUN TONG","高輝道17號油塘工業城A座地下A1號","Flat/Room A1, G/F, Block A, Yau Tong Industrial City, No. 17, Ko Fai Road, ","68008859","3","IC","2027-09-18","","22.29562","114.23528","的士","Taxi","一般車輛維修 (機械和電器工作)","General vehicle maintenance (mechanical and electrical work)","","","","","","","","","","","","","","","","","","",""
"VMW022844","達誠汽車工程公司","TAT SING MOTORS ENGINEERING CO.","新界","N.T.","荃灣","TSUEN WAN","城門道 NO. 454, LOT 264","NO. 454, LOT 264 Shing Mun Road, ","","3","IC","2027-09-18","","22.38256","114.13702","私家車","Private Car","","","","","","","","","","","","","","","","","","","","",""
"VMW022855","金輝機械工程有限公司","KAM FAI MACHINERY ENGINEERING LIMITED","新界","N.T.","元朗","YUEN LONG","唐人新村 DD 121, LOT 982","DD 121, LOT 982 Tong Yan San Tsuen, ","24761638","3","IC","2027-09-18","","22.4314208","114.0128834","輕型貨車, 中型貨車, 重型貨車, 掛接式拖車頭及拖車架","Light Goods Vehicle, Medium Goods Vehicle, Heavy Goods Vehicle, Articulated Tractor and Trailer","一般車輛維修 (機械和電器工作), 更換機油服務","General vehicle maintenance (mechanical and electrical work), Engine oil changing","","","","","","","","","","","","","","","","","","",""
"VMW022866","北斗星汽車服務站","BEIDOUXING AUTO SERVICES CENTRE","新界","N.T.","葵青","KWAI TSING","葵涌大連排道144-150號金豐工業大廈一期地下A舖","Shop A, G/F, Block 1, Goldfield Industrial Building, No. 144-150, Tai Lin Pai Street, Kwai Chung","23638318","3","IC","2027-11-24","","22.35861","114.13202","私家車, 的士, 輕型貨車","Private Car, Taxi, Light Goods Vehicle","","","09:00","19:00","09:00","19:00","09:00","19:00","09:00","19:00","09:00","19:00","09:00","19:00","09:00","19:00","09:00","19:00","09:00","19:00","Su 09:00-19:00,Mo 09:00-19:00, Tu 09:00-19:00, We 09:00-19:00, Th 09:00-19:00, Fr 09:00-19:00, Sa 09:00-19:00"
"VMW022877","JW WORKSHOP","JW WORKSHOP","新界","N.T.","荃灣","TSUEN WAN","大涌道8號TCL工業中心地下3號舖","Shop 3, G/F, TCL Tower, No. 8, Tai Chung Road, ","95861688","3","IC","2027-11-24","","22.374489","114.111436","私家車","Private Car","","","","","","","","","","","","","","","","","","","","",""
"VMW022888","MEG LIMITED","MEG LIMITED","新界","N.T.","元朗","YUEN LONG","涌業路38號","No. 38, Chung Yip Road, ","21185592","3","IC","2027-11-24","","22.454711","114.032262","私家車, 巴士, 輕型貨車, 中型貨車, 掛接式拖車頭及拖車架","Private Car, Bus, Light Goods Vehicle, Medium Goods Vehicle, Articulated Tractor and Trailer","一般車輛維修 (機械和電器工作)","General vehicle maintenance (mechanical and electrical work)","","","","","","","","","","","","","","","","","","",""
"VMW022899","MEG LIMITED","MEG LIMITED","新界","N.T.","沙田","SHA TIN","沙田圍路138號","No. 138, Sha Tin Wai Road, ","21185592","2","IC","2028-01-14","","22.382336","114.210272","私家車, 巴士, 輕型貨車, 中型貨車, 電單車","Private Car, Bus, Light Goods Vehicle, Medium Goods Vehicle, Motorcycle","一般車輛維修 (機械和電器工作)","General vehicle maintenance (mechanical and electrical work)","","","","","","","","","","","","","","","","","","",""
"VMW022902","展宏汽車維修公司","CHIN WANG MOTOR CAR REPAIRING CO.","新界","N.T.","元朗","YUEN LONG","青山公路新田段新華車庫","Sun Wah Garage San Tin Castle Peak Road, ","91000735","3","IC","2028-02-11","","22.497845","114.064003","重型貨車, 掛接式拖車頭及拖車架","Heavy Goods Vehicle, Articulated Tractor and Trailer","","","","","","","","","","","","","","","","","","","","",""
"VMW022913","亞洲汽車服務中心","ASIA AUTOMOTIVE SERVICE CENTER","新界","N.T.","屯門","TUEN MUN","藍地順達街143號地下","G/F, No. 143, Shun Tat Street, Lam Tei","","3","IC","2028-03-12","","22.423306","113.993083","私家車, 輕型貨車, 電單車","Private Car, Light Goods Vehicle, Motorcycle","一般車輛維修 (機械和電器工作)","General vehicle maintenance (mechanical and electrical work)","","","","","","","","","","","","","","","","","","",""
"VMW022924","優先服務公司","優先服務公司","新界","N.T.","葵青","KWAI TSING","葵涌永基路35號嘉里溫控貨倉II2樓高層","2/F, Kerry Ware House 2, No. 35, Wing Kei Road, Kwai Chung","62290263","3","IC","2027-11-24","","22.360167","114.118459","私家車, 輕型貨車, 中型貨車, 重型貨車, 掛接式拖車頭及拖車架","Private Car, Light Goods Vehicle, Medium Goods Vehicle, Heavy Goods Vehicle, Articulated Tractor and Trailer","","","","","","","","","","","","","","","","","","","","",""
"VMW022935","星威汽車工程有限公司","STAR POWER MOTOR ENGINEERING LIMITED","新界","N.T.","元朗","YUEN LONG","山下路欖口村193A號","No. 193A, Lam Hau Tsuen, Shan Ha Road, ","60125150","3","IC","2027-11-24","","22.43439","114.01651","私家車, 輕型貨車, 中型貨車, 重型貨車, 掛接式拖車頭及拖車架","Private Car, Light Goods Vehicle, Medium Goods Vehicle, Heavy Goods Vehicle, Articulated Tractor and Trailer","","","","","","","","","","","","","","","","","","","","",""
"VMW022946","成興燒焊維修工程公司","SHING HING CONSTRUCTION AND ENGINEERING CO.","新界","N.T.","元朗","YUEN LONG","新田米埔隴 DD 105","DD 105, Mai Po Lung, San Tin","24820529","3","IC","2028-03-04","","22.491225","114.06833","中型貨車, 重型貨車, 掛接式拖車頭及拖車架","Medium Goods Vehicle, Heavy Goods Vehicle, Articulated Tractor and Trailer","","","","","","","","","","","","","","","","","","","","",""
"VMW022957","強汽車維修","KEUNG MOTOR SERVICES","新界","N.T.","北區","NORTH DISTRICT","粉嶺坪輋 DD 79, LOT 1206 RP","DD 79, LOT 1206 RP Ping Che, Fanling","94181935","3","IC","2027-11-24","","22.528994","114.166411","私家車, 輕型貨車, 中型貨車, 重型貨車, 掛接式拖車頭及拖車架","Private Car, Light Goods Vehicle, Medium Goods Vehicle, Heavy Goods Vehicle, Articulated Tractor and Trailer","一般車輛維修 (機械和電器工作)","General vehicle maintenance (mechanical and electrical work)","","","","","","","","","","","","","","","","","","",""
"VMW022968","冠榮汽車有限公司","CHAMPION MOTOR REPAIR LIMITED","新界","N.T.","元朗","YUEN LONG","公庵路 DD 119, LOT 1152 DRP","DD 119, LOT 1152 DRP , Kung Um Road, ","94711888","3","IC","2027-11-24","","22.417025","114.018212","私家車, 輕型貨車, 中型貨車, 重型貨車, 電單車","Private Car, Light Goods Vehicle, Medium Goods Vehicle, Heavy Goods Vehicle, Motorcycle","一般車輛維修 (機械和電器工作)","General vehicle maintenance (mechanical and electrical work)","","","","","","","","","","","","","","","","","","",""
"VMW022979","麗新汽車服務有限公司","LAI SUN AUTO SERVICES LIMITED","新界","N.T.","元朗","YUEN LONG","新田 DD 104, LOT 2397 & 2398","DD 104, LOT 2397 & 2398 San Tin","24825085","3","IC","2027-11-24","","22.477794","114.057194","輕型貨車, 中型貨車, 重型貨車, 掛接式拖車頭及拖車架","Light Goods Vehicle, Medium Goods Vehicle, Heavy Goods Vehicle, Articulated Tractor and Trailer","一般車輛維修 (機械和電器工作), 更換機油服務","General vehicle maintenance (mechanical and electrical work), Engine oil changing","","","","","","","","","","","","","","","","","","",""
